CAS,HC50,MW,AOH,BCF,BioHL,BP,HL,KM,KOA,LogP,MP,KOC,VP,WS,MoA
100-00-5,6.50E-01,2.20E+00,-1.20E+01,1.50E+00,6.86E-01,2.45E+02,-5.13E+00,-3.76E-01,4.33E+00,2.70E+00,2.46E+00,7.02E+01,-1.52E+00,-2.87E+00,2.00E+00
100-01-6,7.04E-01,2.14E+00,-1.18E+01,5.95E-01,8.23E-01,3.16E+02,-8.79E+00,-6.00E-01,6.57E+00,1.93E+00,1.28E+00,1.26E+02,-4.99E+00,-2.26E+00,5.00E+00
100-41-4,1.06E+00,2.03E+00,-1.10E+01,1.43E+00,8.32E-01,1.39E+02,-2.15E+00,-4.71E-01,3.87E+00,2.31E+00,3.17E+00,-4.54E+01,8.24E-01,-2.79E+00,1.00E+00
100-42-5,1.04E+00,2.02E+00,-1.03E+01,1.12E+00,9.02E-01,1.50E+02,-2.59E+00,-4.67E-01,3.78E+00,2.61E+00,2.93E+00,-1.77E+01,6.31E-01,-2.67E+00,1.00E+00
100-44-7,4.49E-01,2.10E+00,-1.15E+01,1.84E+00,6.90E-01,1.69E+02,-2.53E+00,-8.77E-01,4.16E+00,1.88E+00,2.45E+00,-2.87E+01,2.40E-01,-2.42E+00,2.00E+00
100-51-6,1.66E+00,2.03E+00,-1.07E+01,7.96E-01,7.31E-01,2.01E+02,-6.21E+00,-7.61E-01,4.97E+00,1.23E+00,1.20E+00,1.20E+01,-8.49E-01,-5.61E-01,3.00E+00
100-52-7,1.09E+00,2.03E+00,-1.08E+01,1.10E+00,7.48E-01,1.86E+02,-4.53E+00,-6.94E-01,3.89E+00,1.51E+00,1.44E+00,-8.52E+00,-1.40E-02,-1.33E+00,3.00E+00
101-05-3,-9.59E-01,2.44E+00,-1.12E+01,1.96E+00,5.86E-01,3.20E+02,-6.41E+00,-1.07E-01,1.10E+01,2.98E+00,3.66E+00,1.60E+02,-7.97E+00,-4.36E+00,5.00E+00
101200-48-0,1.60E+00,2.60E+00,-1.08E+01,1.90E-01,6.30E-01,2.82E+02,-1.29E+01,-6.03E-01,1.03E+01,1.70E+00,1.86E+00,1.43E+02,-9.52E+00,-3.97E+00,5.00E+00
101-21-3,5.23E-01,2.33E+00,-1.08E+01,1.30E+00,5.49E-01,2.75E+02,-8.35E+00,-1.24E+00,9.02E+00,2.42E+00,3.33E+00,4.61E+01,-3.84E+00,-3.41E+00,4.00E+00
1024-57-3,-1.80E+00,2.59E+00,-1.22E+01,3.71E+00,2.04E+00,3.29E+02,-4.59E+00,2.18E+00,9.40E+00,4.08E+00,5.11E+00,1.57E+02,-4.84E+00,-6.40E+00,3.00E+00
10265-92-6,-2.51E-02,2.15E+00,-1.05E+01,3.86E-01,6.87E-01,2.39E+02,-6.59E+00,-8.41E-01,6.35E+00,6.31E-01,-7.21E-01,5.48E+01,-4.32E+00,6.54E-01,5.00E+00
102-71-6,2.82E+00,2.17E+00,-1.03E+01,5.20E-01,5.64E-01,3.30E+02,-1.02E+01,-1.06E+00,7.26E+00,1.28E+00,-1.05E+00,2.28E+01,-5.20E+00,8.27E-01,5.00E+00
10311-84-9,1.04E-01,2.60E+00,-1.08E+01,2.26E+00,2.10E+00,4.19E+02,-8.89E+00,5.88E-01,1.17E+01,3.02E+00,4.63E+00,6.58E+01,-7.11E+00,-6.05E+00,4.00E+00
103-23-1,4.91E-01,2.57E+00,-1.09E+01,2.37E+00,7.56E-01,4.09E+02,-6.39E+00,2.22E-01,1.09E+01,4.17E+00,6.85E+00,-6.18E+01,-5.99E+00,-5.51E+00,5.00E+00
103-33-3,-2.85E-01,2.26E+00,-1.16E+01,1.92E+00,7.87E-01,2.99E+02,-5.20E+00,2.74E-01,5.84E+00,3.25E+00,3.75E+00,6.88E+01,-3.47E+00,-4.36E+00,3.00E+00
103-72-0,-8.47E-01,2.13E+00,-1.16E+01,9.30E-01,8.74E-01,2.41E+02,-6.08E+00,-3.09E-01,3.79E+00,1.94E+00,3.19E+00,6.36E+01,-1.00E+00,-3.47E+00,3.00E+00
103-85-5,1.11E+00,2.18E+00,-1.01E+01,6.90E-01,7.81E-01,2.65E+02,-7.86E+00,-8.42E-01,7.93E+00,1.66E+00,9.20E-01,1.62E+02,-3.10E+00,-1.83E+00,5.00E+00
10453-86-8,-2.65E+00,2.53E+00,-9.96E+00,2.70E+00,5.25E-01,3.62E+02,-7.50E+00,4.96E-02,1.02E+01,4.90E+00,6.12E+00,5.41E+01,-6.36E+00,-6.60E+00,4.00E+00
104-76-7,1.10E+00,2.11E+00,-1.07E+01,1.09E+00,6.97E-01,1.81E+02,-4.52E+00,-1.05E+00,5.77E+00,1.79E+00,2.90E+00,-6.47E+01,-6.51E-01,-2.19E+00,1.00E+00
105-55-5,1.77E+00,2.12E+00,-1.06E+01,8.17E-01,6.64E-01,2.91E+02,-8.26E+00,-1.09E+00,7.58E+00,1.38E+00,4.82E-01,8.34E+01,-1.30E+00,3.94E-01,5.00E+00
105-60-2,2.69E+00,2.05E+00,-1.12E+01,4.84E-01,6.57E-01,2.63E+02,-6.09E+00,-9.21E-01,6.29E+00,1.40E+00,-1.20E+00,6.12E+01,-2.58E+00,3.48E-01,5.00E+00
105-67-9,8.37E-01,2.09E+00,-1.01E+01,9.60E-01,6.10E-01,2.17E+02,-6.12E+00,-9.23E-01,6.07E+00,2.07E+00,2.34E+00,4.62E+01,-1.10E+00,-1.36E+00,5.00E+00
106-46-7,4.04E-01,2.17E+00,-1.24E+01,2.43E+00,6.76E-01,1.78E+02,-2.62E+00,6.40E-01,4.43E+00,2.69E+00,3.46E+00,2.34E+01,2.46E-01,-3.08E+00,1.00E+00
106-47-8,4.27E-01,2.11E+00,-1.05E+01,7.70E-01,9.69E-01,2.29E+02,-6.47E+00,-6.36E-01,6.25E+00,2.00E+00,1.88E+00,3.89E+01,-1.27E+00,-1.50E+00,5.00E+00
106-50-3,-2.49E-01,2.03E+00,-9.95E+00,8.84E-01,8.72E-01,2.68E+02,-7.23E+00,-9.17E-01,7.67E+00,1.73E+00,-2.16E-01,1.11E+02,-2.89E+00,-1.76E-01,5.00E+00
106-89-8,1.08E+00,1.97E+00,-1.20E+01,9.89E-01,6.30E-01,1.07E+02,-4.16E+00,-1.06E+00,2.83E+00,9.99E-01,4.64E-01,-4.60E+01,1.39E+00,-1.00E-01,2.00E+00
106-93-4,9.54E-01,2.27E+00,-1.25E+01,1.15E+00,1.16E+00,1.27E+02,-3.15E+00,-8.19E-01,3.65E+00,1.73E+00,2.06E+00,-1.82E+01,1.23E+00,-1.70E+00,1.00E+00
107-05-1,1.10E+00,1.88E+00,-1.08E+01,7.73E-01,6.75E-01,3.41E+01,-1.80E+00,-9.02E-01,2.26E+00,1.52E+00,1.76E+00,-1.30E+02,2.69E+00,-1.40E+00,3.00E+00
107-06-2,2.19E+00,2.00E+00,-1.26E+01,8.24E-01,1.01E+00,7.69E+01,-2.80E+00,-8.53E-01,2.81E+00,1.52E+00,1.58E+00,-5.73E+01,1.98E+00,-1.16E+00,1.00E+00
107-18-6,-6.20E-03,1.76E+00,-1.06E+01,6.06E-01,6.49E-01,1.01E+02,-5.23E+00,-8.43E-01,3.76E+00,6.99E-01,1.22E-01,-1.16E+02,1.35E+00,1.18E+00,3.00E+00
107-19-7,2.78E-01,1.75E+00,-1.10E+01,5.13E-01,6.48E-01,1.15E+02,-5.25E+00,-8.28E-01,3.10E+00,7.79E-01,-3.37E-01,-4.42E+01,1.16E+00,1.20E+00,5.00E+00
107-20-0,1.82E-01,1.89E+00,-1.14E+01,1.09E+00,5.66E-01,7.26E+01,-4.21E+00,-9.55E-01,2.67E+00,1.11E+00,5.08E-01,-4.83E+01,1.93E+00,2.61E-02,3.00E+00
107-21-1,3.62E+00,1.79E+00,-1.11E+01,5.12E-01,8.79E-01,1.98E+02,-7.23E+00,-1.11E+00,6.65E+00,7.49E-01,-1.34E+00,-1.38E+01,-1.21E+00,1.14E+00,5.00E+00
107-29-9,1.58E+00,1.77E+00,-1.17E+01,7.91E-01,6.62E-01,1.09E+02,-4.48E+00,-9.47E-01,1.65E+00,7.17E-01,-4.64E-02,3.64E+01,1.70E+00,7.70E-01,5.00E+00
107534-96-3,-4.19E-01,2.49E+00,-1.06E+01,2.39E+00,5.02E-01,3.22E+02,-6.48E+00,7.00E-01,1.06E+01,3.00E+00,3.68E+00,1.09E+02,-7.66E+00,-3.97E+00,5.00E+00
107-98-2,3.28E+00,1.95E+00,-1.07E+01,3.70E-01,6.63E-01,1.26E+02,-6.13E+00,-1.07E+00,4.08E+00,1.02E+00,-3.16E-01,-6.72E+01,9.36E-01,1.05E+00,1.00E+00
108-10-1,2.63E+00,2.00E+00,-1.10E+01,8.17E-01,6.46E-01,1.17E+02,-4.25E+00,-1.06E+00,3.58E+00,1.61E+00,1.39E+00,-6.54E+01,1.21E+00,-7.44E-01,1.00E+00
108-31-6,2.05E+00,1.99E+00,-1.17E+01,1.33E-01,7.86E-01,2.11E+02,-7.91E+00,-4.90E-01,4.48E+00,1.07E+00,-8.18E-01,5.84E+01,-8.22E-01,-9.16E-02,3.00E+00
108-39-4,1.07E+00,2.03E+00,-1.02E+01,1.18E+00,5.54E-01,2.00E+02,-6.11E+00,-6.37E-01,5.05E+00,2.08E+00,1.95E+00,1.82E+01,-9.97E-01,-7.67E-01,5.00E+00
108-45-2,1.48E+00,2.03E+00,-1.00E+01,8.84E-01,1.35E+00,2.72E+02,-7.24E+00,-9.17E-01,7.64E+00,1.62E+00,-2.19E-01,9.35E+01,-2.77E+00,-4.54E-02,5.00E+00
108-46-3,1.39E+00,2.04E+00,-1.05E+01,9.59E-01,9.10E-01,2.78E+02,-7.26E+00,-9.61E-01,7.59E+00,1.25E+00,7.24E-01,1.27E+02,-3.55E+00,4.89E-01,5.00E+00
1085-98-9,-4.07E-01,2.52E+00,-1.09E+01,6.59E-01,8.54E-01,3.36E+02,-6.77E+00,-7.90E-01,7.44E+00,3.05E+00,3.61E+00,1.01E+02,-6.53E+00,-5.19E+00,5.00E+00
108-78-1,2.88E+00,2.10E+00,-1.07E+01,5.59E-01,6.56E-01,3.30E+02,-8.02E+00,-8.40E-01,8.32E+00,1.79E+00,-1.26E+00,2.61E+02,-9.40E+00,-1.61E+00,5.00E+00
108-88-3,1.55E+00,1.96E+00,-1.12E+01,9.93E-01,4.68E-01,1.15E+02,-2.22E+00,-6.25E-01,3.85E+00,1.99E+00,2.65E+00,-6.70E+01,1.38E+00,-2.34E+00,1.00E+00
108-90-7,7.21E-01,2.05E+00,-1.22E+01,1.45E+00,6.81E-01,1.41E+02,-2.56E+00,-9.86E-01,3.61E+00,2.18E+00,2.83E+00,-2.81E+01,1.04E+00,-2.43E+00,1.00E+00
108-95-2,9.92E-01,1.97E+00,-1.05E+01,1.21E+00,6.61E-01,1.87E+02,-6.31E+00,-6.30E-01,4.80E+00,1.55E+00,1.58E+00,3.53E+01,-5.91E-01,-1.89E-01,5.00E+00
109-69-3,2.60E+00,1.97E+00,-1.17E+01,1.24E+00,7.82E-01,7.43E+01,-1.83E+00,-4.55E-01,2.78E+00,1.79E+00,2.49E+00,-1.09E+02,2.05E+00,-1.83E+00,1.00E+00
109-86-4,3.90E+00,1.88E+00,-1.09E+01,1.77E-01,6.15E-01,1.23E+02,-6.39E+00,-1.07E+00,3.96E+00,1.02E+00,-6.96E-01,-6.69E+01,9.02E-01,1.12E+00,1.00E+00
109-99-9,3.22E+00,1.86E+00,-1.10E+01,3.79E-01,7.92E-01,6.02E+01,-3.98E+00,-8.45E-01,2.93E+00,1.08E+00,5.50E-01,-1.06E+02,2.25E+00,6.06E-01,1.00E+00
110-00-9,1.59E+00,1.83E+00,-1.06E+01,7.29E-01,6.71E-01,3.77E+01,-3.85E+00,-8.74E-01,2.26E+00,1.38E+00,1.31E+00,-8.36E+01,2.56E+00,-5.94E-01,2.00E+00
110-44-1,2.87E+00,2.05E+00,-1.04E+01,5.67E-01,5.51E-01,2.09E+02,-6.18E+00,-8.86E-01,4.81E+00,1.33E+00,1.33E+00,1.03E+02,-6.21E-01,-1.23E+00,3.00E+00
110-54-3,1.42E+00,1.94E+00,-1.13E+01,2.10E+00,8.87E-01,6.42E+01,-3.13E-01,-3.24E-01,3.17E+00,2.25E+00,3.94E+00,-1.14E+02,2.13E+00,-3.85E+00,1.00E+00
110-80-5,2.43E+00,1.95E+00,-1.08E+01,2.56E-01,6.15E-01,1.33E+02,-6.23E+00,-1.06E+00,4.24E+00,1.08E+00,-3.14E-01,-5.22E+01,7.59E-01,1.05E+00,1.00E+00
110-82-7,1.60E+00,1.93E+00,-1.11E+01,1.90E+00,1.60E+00,7.86E+01,-7.39E-01,-5.18E-01,3.22E+00,1.98E+00,3.47E+00,-2.43E+01,1.96E+00,-3.20E+00,1.00E+00
110-86-1,2.01E+00,1.90E+00,-1.21E+01,6.40E-01,6.77E-01,1.20E+02,-5.02E+00,-1.00E+00,3.32E+00,1.51E+00,7.37E-01,-4.00E+01,1.27E+00,3.81E-01,2.00E+00
1113-02-6,1.20E+00,2.33E+00,-1.08E+01,2.65E-02,5.50E-01,3.08E+02,-9.35E+00,-1.14E+00,9.59E+00,9.98E-01,-5.62E-01,-1.75E+01,-4.66E+00,5.90E-01,5.00E+00
111-30-8,5.07E-01,2.00E+00,-1.06E+01,3.07E-01,5.65E-01,1.29E+02,-6.77E+00,-1.01E+00,3.97E+00,1.34E+00,-1.40E-01,-1.19E+01,1.27E-01,-2.28E-02,3.00E+00
111-44-4,2.10E+00,2.16E+00,-1.16E+01,9.87E-01,5.46E-01,1.69E+02,-5.19E+00,-8.09E-01,3.80E+00,1.84E+00,1.24E+00,-5.21E+01,4.34E-01,-1.19E+00,1.00E+00
111-46-6,3.88E+00,2.03E+00,-1.06E+01,5.36E-01,8.78E-01,2.36E+02,-8.53E+00,-1.10E+00,7.13E+00,6.11E-01,-1.09E+00,-1.21E+01,-2.24E+00,9.30E-01,5.00E+00
1114-71-2,4.54E-01,2.31E+00,-1.06E+01,1.29E+00,5.26E-01,2.10E+02,-6.27E+00,-8.76E-01,7.42E+00,2.69E+00,3.81E+00,-8.10E+00,-1.50E+00,-3.32E+00,4.00E+00
111-76-2,2.81E+00,2.07E+00,-1.07E+01,6.77E-01,6.49E-01,1.63E+02,-5.91E+00,-5.10E-01,4.90E+00,1.72E+00,7.13E-01,-4.12E+01,1.53E-02,7.42E-01,1.00E+00
112410-23-8,-2.45E-01,2.55E+00,-1.09E+01,1.90E+00,5.25E-01,3.29E+02,-8.80E+00,-1.39E-01,1.04E+01,3.28E+00,4.00E+00,1.95E+02,-7.88E+00,-5.73E+00,5.00E+00
114-26-1,1.70E-01,2.32E+00,-1.08E+01,8.44E-01,6.68E-01,2.84E+02,-8.86E+00,-1.00E+00,9.22E+00,1.75E+00,1.70E+00,9.12E+01,-5.09E+00,-2.24E+00,4.00E+00
114369-43-6,-6.52E-01,2.53E+00,-1.08E+01,2.45E+00,5.25E-01,3.36E+02,-5.37E+00,1.48E-02,1.01E+01,2.95E+00,3.14E+00,1.23E+02,-7.35E+00,-5.89E+00,3.00E+00
115-32-2,-1.10E+00,2.57E+00,-1.10E+01,3.81E+00,1.47E+00,3.70E+02,-8.84E+00,1.81E+00,1.14E+01,3.78E+00,5.36E+00,7.57E+01,-6.57E+00,-5.34E+00,3.00E+00
115-90-2,-7.53E-01,2.49E+00,-1.07E+01,4.13E-01,6.38E-01,3.69E+02,-6.37E+00,-2.99E-01,1.04E+01,2.59E+00,2.31E+00,5.97E+01,-4.41E+00,-2.45E+00,4.00E+00
115-96-8,1.64E+00,2.46E+00,-1.07E+01,1.21E-01,5.66E-01,3.22E+02,-6.89E+00,-6.29E-01,8.41E+00,1.16E+00,1.53E+00,-3.26E+01,-1.45E+00,-1.58E+00,5.00E+00
116-06-3,-3.80E-01,2.28E+00,-1.08E+01,7.71E-01,5.49E-01,2.53E+02,-7.63E+00,-9.82E-01,7.50E+00,1.52E+00,1.18E+00,7.70E+01,-4.29E+00,-1.33E+00,4.00E+00
1162-65-8,-3.22E-01,2.49E+00,-1.01E+01,1.73E+00,5.26E-01,4.06E+02,-8.83E+00,6.57E-03,1.06E+01,5.64E+00,2.03E+00,2.05E+02,-9.35E+00,-4.51E+00,1.00E+00
116-29-0,-1.48E-01,2.55E+00,-1.16E+01,2.58E+00,9.28E-01,4.07E+02,-5.16E+00,1.07E+00,9.82E+00,3.43E+00,4.52E+00,1.35E+02,-9.44E+00,-6.48E+00,5.00E+00
117-10-2,-1.10E-01,2.38E+00,-1.09E+01,1.64E+00,1.61E+00,3.90E+02,-1.00E+01,-9.63E-01,9.05E+00,3.43E+00,3.06E+00,2.03E+02,-8.10E+00,-3.92E+00,5.00E+00
117-18-0,-5.61E-01,2.42E+00,-1.20E+01,2.53E+00,7.75E-01,3.03E+02,-3.99E+00,1.61E-01,6.75E+00,4.05E+00,4.19E+00,8.98E+01,-2.81E+00,-4.87E+00,5.00E+00
117-81-7,3.02E-01,2.59E+00,-1.07E+01,2.70E+00,6.83E-01,3.86E+02,-6.58E+00,4.17E-01,1.17E+01,4.80E+00,7.66E+00,-2.71E+01,-6.65E+00,-6.92E+00,5.00E+00
118-74-1,-1.52E+00,2.45E+00,-1.35E+01,4.22E+00,1.26E+00,3.16E+02,-2.92E+00,2.38E+00,7.26E+00,3.80E+00,5.61E+00,2.13E+02,-4.36E+00,-7.12E+00,1.00E+00
118-75-2,-8.74E-02,2.39E+00,-1.24E+01,1.29E+00,6.70E-01,2.57E+02,-3.15E+00,8.10E-01,7.44E+00,2.35E+00,2.22E+00,2.67E+02,-3.88E+00,-2.57E+00,3.00E+00
118-96-7,4.31E-01,2.36E+00,-1.21E+01,9.72E-01,6.89E-01,3.04E+02,-6.30E+00,-3.28E-01,5.98E+00,2.63E+00,1.56E+00,9.92E+01,-5.00E+00,-3.22E+00,5.00E+00
119-34-6,1.26E+00,2.19E+00,-1.18E+01,7.52E-01,6.63E-01,2.99E+02,-7.38E+00,-9.57E-01,7.83E+00,1.98E+00,1.13E+00,1.54E+02,-8.54E+00,-1.97E+00,5.00E+00
119-38-0,-1.18E-02,2.32E+00,-1.09E+01,7.85E-01,6.65E-01,2.72E+02,-4.26E+00,-3.03E-03,6.10E+00,2.00E+00,2.37E+00,7.11E+01,-2.94E+00,3.10E-01,4.00E+00
120068-37-3,-1.69E+00,2.64E+00,-1.08E+01,7.10E-01,5.49E-01,3.23E+02,-8.04E+00,-1.27E-01,1.05E+01,2.88E+00,3.94E+00,1.98E+02,-8.66E+00,-5.27E+00,5.00E+00
120-12-7,-1.76E+00,2.25E+00,-1.03E+01,3.33E+00,2.03E+00,3.41E+02,-4.26E+00,6.03E-01,7.50E+00,4.36E+00,4.53E+00,1.36E+02,-4.68E+00,-5.94E+00,1.00E+00
120-61-6,1.15E+00,2.29E+00,-1.12E+01,5.74E-01,5.65E-01,2.81E+02,-7.10E+00,-6.49E-01,5.68E+00,1.64E+00,2.04E+00,7.34E+01,-2.14E+00,-3.36E+00,5.00E+00
120-62-7,-4.32E-01,2.51E+00,-1.07E+01,1.30E+00,5.26E-01,3.64E+02,-5.26E+00,3.78E-02,1.15E+01,3.65E+00,5.19E+00,1.10E+02,-5.70E+00,-5.17E+00,5.00E+00
12071-83-9,5.97E-01,2.46E+00,-1.08E+01,7.50E-01,8.87E-01,3.58E+02,-1.02E+01,-9.01E-01,7.96E+00,2.29E+00,6.55E-01,1.50E+02,-5.47E+00,-1.54E+00,5.00E+00
120-72-9,1.86E-01,2.07E+00,-9.90E+00,8.98E-01,8.78E-01,2.58E+02,-5.51E+00,-8.30E-01,7.46E+00,2.08E+00,2.26E+00,5.56E+01,-1.91E+00,-1.65E+00,5.00E+00
120-80-9,8.68E-01,2.04E+00,-1.01E+01,1.21E+00,8.61E-01,2.53E+02,-6.77E+00,-9.62E-01,7.58E+00,1.44E+00,8.36E-01,1.03E+02,-2.72E+00,3.40E-01,5.00E+00
120-82-1,9.62E-02,2.26E+00,-1.23E+01,3.05E+00,5.87E-01,2.13E+02,-2.84E+00,1.19E+00,5.05E+00,3.21E+00,3.97E+00,4.01E+01,-4.37E-01,-3.95E+00,1.00E+00
120-83-2,-2.58E-01,2.21E+00,-1.18E+01,1.26E+00,6.05E-01,2.12E+02,-5.88E+00,-9.34E-01,6.31E+00,2.91E+00,3.04E+00,5.38E+01,-1.10E+00,-1.62E+00,5.00E+00
120-93-4,2.94E+00,1.93E+00,-1.10E+01,2.01E-01,6.60E-01,2.62E+02,-6.29E+00,-9.76E-01,7.59E+00,9.70E-01,-9.51E-01,1.32E+02,-2.37E+00,3.23E-01,5.00E+00
121-14-2,2.49E-01,2.26E+00,-1.18E+01,9.72E-01,5.51E-01,2.97E+02,-7.12E+00,-6.28E-01,5.08E+00,2.61E+00,1.93E+00,7.21E+01,-3.66E+00,-2.90E+00,5.00E+00
12122-67-7,-5.39E-01,2.44E+00,-1.05E+01,7.69E-01,1.25E+00,3.58E+02,-1.02E+01,-9.28E-01,7.94E+00,2.66E+00,6.70E-01,1.72E+02,-5.72E+00,-4.06E-01,4.00E+00
121-69-7,1.14E+00,2.08E+00,-1.00E+01,9.50E-01,8.34E-01,1.94E+02,-5.09E+00,-7.92E-01,4.43E+00,2.18E+00,2.39E+00,-2.14E+01,-1.25E-01,-1.65E+00,5.00E+00
121-75-5,-8.23E-01,2.52E+00,-1.11E+01,1.42E+00,1.40E+00,3.60E+02,-8.41E+00,1.37E-01,9.61E+00,2.39E+00,2.25E+00,5.69E+00,-5.40E+00,-3.20E+00,4.00E+00
121-79-9,9.49E-01,2.33E+00,-1.08E+01,1.17E+00,5.48E-01,3.16E+02,-9.11E+00,-9.35E-01,8.32E+00,2.04E+00,1.81E+00,1.29E+02,-6.59E+00,-1.82E+00,5.00E+00
122-14-5,-1.05E+00,2.44E+00,-1.08E+01,1.92E+00,6.53E-01,3.53E+02,-6.22E+00,1.32E-02,8.87E+00,2.73E+00,3.38E+00,1.00E+01,-4.73E+00,-3.81E+00,4.00E+00
122-34-9,-4.63E-01,2.30E+00,-1.09E+01,6.69E-01,6.90E-01,3.34E+02,-7.62E+00,-9.26E-01,8.36E+00,2.16E+00,2.15E+00,2.16E+02,-7.31E+00,-3.73E+00,5.00E+00
122-39-4,-2.68E-01,2.23E+00,-9.94E+00,2.10E+00,8.11E-01,3.04E+02,-7.13E+00,2.17E-01,8.45E+00,2.90E+00,3.42E+00,5.36E+01,-3.32E+00,-3.59E+00,5.00E+00
122-42-9,9.46E-01,2.25E+00,-1.09E+01,1.02E+00,6.95E-01,2.57E+02,-7.66E+00,-1.09E+00,8.62E+00,1.86E+00,2.69E+00,7.98E+01,-3.87E+00,-2.78E+00,4.00E+00
122-66-7,4.85E-02,2.27E+00,-1.02E+01,1.53E+00,1.50E+00,3.18E+02,-7.18E+00,-7.83E-01,8.15E+00,3.06E+00,2.98E+00,1.22E+02,-3.55E+00,-3.05E+00,3.00E+00
123-31-9,-6.10E-01,2.04E+00,-1.05E+01,9.59E-01,7.90E-01,2.79E+02,-7.26E+00,-9.59E-01,7.59E+00,1.64E+00,7.67E-01,1.44E+02,-4.18E+00,7.83E-02,5.00E+00
123-91-1,3.37E+00,1.95E+00,-1.11E+01,-1.08E-01,1.01E+00,1.02E+02,-4.83E+00,-9.47E-01,3.27E+00,1.15E+00,-2.00E-01,-1.39E+01,1.61E+00,1.05E+00,1.00E+00
12427-38-2,-5.47E-01,2.42E+00,-1.05E+01,7.69E-01,1.25E+00,3.58E+02,-1.02E+01,-9.28E-01,7.94E+00,2.66E+00,6.70E-01,1.72E+02,-5.72E+00,-4.06E-01,4.00E+00
124-48-1,1.42E+00,2.32E+00,-1.32E+01,9.61E-01,1.23E+00,1.22E+02,-2.99E+00,-7.55E-01,3.23E+00,1.91E+00,2.20E+00,-3.41E+01,1.25E+00,-1.97E+00,1.00E+00
126-72-7,-1.72E-01,2.84E+00,-1.08E+01,6.52E-01,6.26E-01,3.96E+02,-4.53E+00,-8.84E-01,1.17E+01,3.79E+00,4.26E+00,9.99E+00,-3.86E+00,-4.85E+00,5.00E+00
126-73-8,6.75E-01,2.43E+00,-1.07E+01,1.47E+00,5.66E-01,2.85E+02,-5.95E+00,-7.52E-01,7.88E+00,2.42E+00,3.76E+00,-7.34E+01,-2.77E+00,-2.86E+00,5.00E+00
127-00-4,2.22E+00,1.98E+00,-1.10E+01,9.26E-01,7.38E-01,1.34E+02,-5.13E+00,-7.64E-01,4.06E+00,9.32E-01,7.10E-01,-1.54E+01,7.11E-01,2.24E-01,1.00E+00
127-18-4,6.32E-01,2.22E+00,-1.27E+01,1.66E+00,1.33E+00,1.27E+02,-1.76E+00,-8.04E-01,3.84E+00,2.30E+00,3.37E+00,-1.68E+01,9.03E-01,-2.71E+00,1.00E+00
128-44-9,3.96E+00,2.31E+00,-1.16E+01,4.72E-01,6.93E-01,2.72E+02,-8.66E+00,-9.92E-01,8.48E+00,1.45E+00,8.77E-01,1.44E+02,-5.71E+00,-1.69E+00,5.00E+00
131-17-9,3.02E-01,2.39E+00,-1.02E+01,1.33E+00,6.36E-01,3.13E+02,-7.02E+00,-4.75E-01,7.45E+00,2.29E+00,3.16E+00,1.44E+01,-4.04E+00,-3.05E+00,5.00E+00
132-27-4,4.46E-01,2.28E+00,-1.01E+01,1.69E+00,1.35E+00,2.94E+02,-7.02E+00,-9.71E-01,9.20E+00,3.53E+00,3.14E+00,6.42E+01,-3.02E+00,-2.54E+00,5.00E+00
133-06-2,-5.02E-01,2.48E+00,-1.06E+01,2.00E+00,8.51E-01,3.02E+02,-5.40E+00,-1.02E-01,8.83E+00,2.42E+00,2.73E+00,1.71E+02,-6.79E+00,-4.52E+00,5.00E+00
133-07-3,-1.63E+00,2.47E+00,-1.12E+01,1.70E+00,9.96E-01,3.19E+02,-6.25E+00,-5.64E-03,9.46E+00,3.15E+00,2.70E+00,1.51E+02,-6.58E+00,-5.30E+00,5.00E+00
134-32-7,1.17E+00,2.16E+00,-1.01E+01,1.52E+00,1.35E+00,3.00E+02,-6.86E+00,-2.38E-01,8.47E+00,3.41E+00,2.35E+00,6.11E+01,-2.93E+00,-2.28E+00,5.00E+00
13457-18-6,-4.67E-01,2.57E+00,-1.10E+01,9.49E-01,6.77E-01,3.32E+02,-8.12E+00,-1.68E-02,1.17E+01,2.39E+00,3.63E+00,4.62E+01,-6.41E+00,-4.85E+00,4.00E+00
134-62-3,1.91E+00,2.28E+00,-1.08E+01,5.21E-01,5.26E-01,2.88E+02,-6.84E+00,-6.06E-01,7.25E+00,2.28E+00,2.26E+00,-1.20E+01,-2.72E+00,-2.70E+00,5.00E+00
135-88-6,-7.21E-01,2.34E+00,-1.08E+01,2.56E+00,1.59E+00,3.95E+02,-7.14E+00,-3.63E-01,1.10E+01,3.90E+00,4.38E+00,9.79E+01,-7.75E+00,-3.82E+00,5.00E+00
13593-03-8,-5.50E-01,2.47E+00,-1.08E+01,1.28E+00,6.78E-01,3.59E+02,-6.45E+00,4.43E-01,1.08E+01,2.39E+00,4.23E+00,3.61E+01,-5.60E+00,-3.97E+00,4.00E+00
13674-87-8,2.95E-01,2.63E+00,-1.06E+01,1.10E+00,6.10E-01,3.13E+02,-5.77E+00,-5.19E-01,1.03E+01,2.54E+00,3.64E+00,2.37E+01,-5.28E+00,-4.35E+00,5.00E+00
13684-63-4,-3.60E-01,2.48E+00,-1.09E+01,1.28E+00,5.49E-01,2.73E+02,-1.07E+01,-7.08E-01,9.38E+00,3.38E+00,3.63E+00,1.38E+02,-1.02E+01,-4.77E+00,4.00E+00
