CAS,HC50,MW,AOH,BCF,BioHL,BP,HL,KM,KOA,LogP,MP,KOC,VP,WS,MoA
5915-41-3,-1.25E+00,2.36E+00,-1.09E+01,1.20E+00,6.90E-01,3.39E+02,-7.91E+00,-9.01E-01,8.42E+00,2.35E+00,3.31E+00,1.84E+02,-6.28E+00,-4.27E+00,5.00E+00
592-41-6,1.76E+00,1.93E+00,-1.04E+01,1.74E+00,6.94E-01,6.59E+01,-6.39E-01,-2.50E-01,2.75E+00,2.25E+00,3.37E+00,-1.29E+02,2.21E+00,-3.20E+00,1.00E+00
593-81-7,8.51E-01,1.98E+00,-1.02E+01,3.35E-01,1.03E+00,1.30E+01,-3.91E+00,-6.73E-01,2.08E+00,1.22E+00,1.21E-01,1.85E+02,3.03E+00,9.10E-01,5.00E+00
59-50-7,4.22E-01,2.15E+00,-1.04E+01,1.13E+00,5.50E-01,2.26E+02,-5.94E+00,-1.06E+00,6.63E+00,1.92E+00,2.85E+00,6.09E+01,-1.34E+00,-1.54E+00,5.00E+00
595-37-9,3.05E+00,2.07E+00,-1.15E+01,5.69E-01,5.65E-01,1.90E+02,-6.00E+00,-1.03E+00,4.48E+00,1.72E+00,1.88E+00,-8.54E+00,-7.46E-01,-6.73E-01,1.00E+00
59720-42-2,1.77E+00,2.24E+00,-1.04E+01,3.71E-01,6.49E-01,2.80E+02,-8.25E+00,-1.00E+00,7.45E+00,1.43E+00,-8.52E-01,8.84E+01,-3.53E+00,3.80E-01,5.00E+00
598-16-3,5.44E-01,2.42E+00,-1.14E+01,1.19E+00,7.75E-01,1.65E+02,-3.51E+00,-9.00E-01,4.45E+00,1.89E+00,3.19E+00,1.26E+01,3.16E-01,-2.60E+00,1.00E+00
598-56-1,1.19E+00,1.86E+00,-1.05E+01,6.99E-01,7.84E-01,4.01E+01,-3.84E+00,-5.13E-01,2.26E+00,1.85E+00,5.94E-01,-1.39E+02,2.60E+00,8.08E-01,1.00E+00
60-00-4,1.96E+00,2.47E+00,-1.10E+01,5.81E-01,6.97E-01,3.18E+02,-1.06E+01,-5.14E-01,9.38E+00,1.40E+00,-1.71E+00,1.64E+02,-1.17E+01,-2.27E+00,5.00E+00
60-12-8,2.23E+00,2.09E+00,-1.03E+01,9.08E-01,6.55E-01,2.19E+02,-6.39E+00,-9.80E-01,6.11E+00,1.53E+00,1.40E+00,7.45E+00,-1.08E+00,-8.47E-01,1.00E+00
602-01-7,-3.54E-02,2.26E+00,-1.18E+01,1.10E+00,5.51E-01,2.94E+02,-7.00E+00,-8.42E-01,5.05E+00,2.54E+00,1.89E+00,6.54E+01,-3.46E+00,-3.03E+00,5.00E+00
